,Timestamp,email,Vocabulary tables: Did you use any tricks or strategies to remember translations from the vocabulary tables?,table lenient,table Strict (when in doubt count as strategy),table strategy (new categorization),table strategy,table syntactic,table semantic,Wikipedia articles: Did you use any tricks or strategies to remember translations when reading the Wikipedia articles?,"broccoli lenient Strategy (not counting repetitions or context, only counting ""unnatural connections"")",broccoli strict,Broccoli strategy (new),Broccoli strategy,Broccoli context,Broccoli syntactic,Broccoli semantic,How did you like the experience of reading Wikipedia articles with some translated words?,Suggestions for improvement (optional),Technical problems (optional),Anything else you'd like to tell us (optional)
17,2019/05/29 7:44:29 PM GMT+2,0,"Mimes, memotechnics",y,,y,y,y,y,would rather refer to a previous context of the word rather than translation of the word itself,n,,n,y,y,,,3,It's hard to remember the translation when the rest of the text is fairly complicated as well. More focused on understanding the text than memorizing vocabulary,,
18,2019/05/29 7:47:16 PM GMT+2,8,"memorize by sets of 5 words. After getting sense of those 5 words, move onto next set.",n,,n,n,,,check its english translation only if the words appear frequently.,n,,n,n,,,,4,,,"This experiment was very interesting! Can't wait to see the result and the paper containing this experiment. I wonder if the result would be different if you use languages that don't use Latin alphabet (for example, chinese, japanese, russian...)"
19,2019/05/29 7:47:27 PM GMT+2,2,"choosing the words that seemed more familiar, trying to find mnemonic ways or play on words, repeating them",y,,y,y,,y,Not really,n,,n,n,,,,4,"It felt very long, never knowing when it ended : maybe telling first the number of texts/pages to read would help.",,
20,2019/05/29 7:47:31 PM GMT+2,9,"close to italian word, the sound of the word",y,,y,y,y,,"close to italian word, r",y,,y,y,,y,,3,,,
22,2019/05/29 7:47:49 PM GMT+2,17,I tried to associate them with the words I know or make up unusual links between words,y,,y,y,y,,I tried to focus on the meaning of the sentence and try to remember a workd within the context,n,,n,y,y,,,4,,none,"If it comes to reading Wikipedia articles, I think the words would be more memorable if the article was unusual, for example about controversial topic, something that is currently happening in the environment/society. On the other hand I don't know if the topics were chosen on purpose. "
23,2019/05/29 7:48:46 PM GMT+2,12,"Picked words similar to English, looked for patterns, other than that just repetition.",y,,y,y,y,,"Checked if the word appeared multiple times within the article, if so made an effort to remember it for the length of the article. Otherwise, no.",n,,n,n,,,,2,,None,
24,2019/05/29 7:50:56 PM GMT+2,32,no,n,,n,n,,,no,n,,n,n,,,,2,,,
25,2019/05/29 7:54:14 PM GMT+2,37,Tried to find comparable roots of the words in english and similar sounding words,y,,y,y,y,,Tried to remember the context in which exceedingly difficult or easy sounding words were used. Didin't bother with the words that seemed kind of forgettable.,n,,n,y,y,,,5,Cant think of anything particular right now,,
26,2019/05/29 7:56:35 PM GMT+2,31,Maybe tried to make a connection between the finnish word and the translation. Liike and movement = i like the movement etc.,y,,y,y,,y,no,n,,n,n,,,,3,,,
27,2019/05/29 7:57:36 PM GMT+2,33,"Associations with other languages and mnemonics, e.g. 'single' looks a bit like Slavic 'one', valley is a place from where a lake was sucked out etc.; also you remember words that come first in a lost, capitalized words, terms made of two words and some exceptionally long words. I skipped the words that looked too familiar like king, mark, article, not to waste time on memorizing them. I've voticed that month have the same ending, so that helps in a quiz",y,,y,y,y,,"I went back if I noticed that the word repeats to look at the context where I'd seen it before. At some point, you start seeing relations between the words with similar meaning, e.g. extend and widely",n,,y,y,y,,,4,,,Don't expect to remember much next week
28,2019/05/29 7:58:29 PM GMT+2,38,"yes,by repetition",n,,n,n,,,"yes, by repetition",n,,y,n,,,,4,,,
29,2019/05/29 7:58:45 PM GMT+2,1,"I grouped words that were explaining similar things (e.g. world, capital, city). I also remembered the meaning of some words by the way words looked (e.g. word extended had ""aa"" inside).",y,,y,y,y,y,I used the same as I already mentioned in previous question.,y,,y,y,,y,y,4,"Texts that were used were a bit boring to read, especially because some of them seemed like they had random sentences inside, which weren't really making sense. If texts were more interesting, the attention span would probably be longer.",,
30,2019/05/29 8:00:49 PM GMT+2,39,not really,n,,n,n,,,No,n,,n,n,,,,2,,,
31,2019/05/29 8:02:23 PM GMT+2,28,"Very few. I noticed at the 2nd table that the months ended by kuu. ""Order"" is a long word with accents. I focused on a few words to remember them well thus I haven't read all of them in the first table.",n,y,y,y,y,,Sometimes the missing word was in the title of the paragraph. I mainly used the context and the memory of which english words I had seen in this context without necessarely recognizing the finnish word.,n,,n,y,y,,,5,Don't forget to translate words from the title in wikipedia articles,I couldn't use the plugin with Firefox (loading for ever) but it worked with Chromium.,It's hard ! ^^
32,2019/05/29 8:03:34 PM GMT+2,18,"Yes I study Japanese using ""Remembering the kanji"" methodology from Heising. It basically consists in creating stories associating meaning and the writing of the word. It's really important to get an emotional attachment to the story. For example for the word ""movie"" I remember it ends with ""kuva"" which means figure (I learnt that one while reading previously) . So I imagined watching a very boring movie with figures. Or January ends with ""kuu"" and this reminded me of a baby born in January (it makes sense for me somehow) so I just see that part of the word and recognize it but I don't remember the word fully. The word for version has 3 ä, dots like in versioning for software. The word for claim has the same 3 ä but they are evenly spaced so I imagined someone complaining periodically over time. I have a trick for all words in the database and after 5 minutes I could recall all of them (I didn't use 12 minutes).",y,,y,y,,y,No it's the first time I learn like this. I feel a bit more finnish actually learning this way. Also I think I did much worse on those words than on the dictionary table. I don't think seeing the word in context helped me much remember it.,n,,n,n,,,,4,Some words were not repeated anymore while others appeared constantly. I'm not sure what I was supposed to do in the pages without finnish words. I don't get why you want me to read them,,I think this way of learning is really innovative and I'm really curious to see what I will remember next week. My bet is that I will remember most my tricks (I won't cheet I will not practice them). Good luck with your findings!
33,2019/05/29 8:03:49 PM GMT+2,6,finding similarity between the words and their English translation,y,,y,y,y,,no,n,,n,n,,,,2,,the texts were too long,
34,2019/05/29 8:14:34 PM GMT+2,26,"I made up links (sometimes very strange ones) between the finnish word and something I knew. For example, luvun begins with an ""L"", and L indicates 100 in roman numerals, so I knew luvun -> 100 -> century",y,,y,y,,y,I tried to relate the word to the context.,n,,n,y,y,,,3,"Maybe let people chose topics/domains they are interested in, it would be more interesting (and maybe people would memorize better if they are interested in the topic).",,
35,2019/05/29 8:27:32 PM GMT+2,7,"Not really, but I usually looked at the words at the begining or at the end of the tables, or usually the ones that were the easiest to remember (are similar to english translations or tried to memorize them by linking them to a certain sentence of my choosing like: ""I liike to move it"" liike -> movement.) ",y,,n,n,,,"For some of them I got the meaning from the rest of the sentence/text, but for others even though they were poping up frequently, nothing helped to memorize them (especially word that are similar).",n,y,n,n,,,,3,,"No technical problems, but at the end when we had to write the finish words, when I clicked on enter I got a message saying do I really want to quit the page or stay on the page, I almost clicked on quit the page. So maybe removing that kind of behavior when enter is clicked would help eliminate some technical problems.",
36,2019/05/29 8:36:58 PM GMT+2,23,"Yes, I tried to match each word with a sort of sentence that sounded like said word or reminded me of said word (e.g. luvun = live in a ""century"" or laivasto = ""live at sea"" => navy)",y,,y,y,y,,"Not really, I just tried to read the finnish word ""out loud"" and think the english word in my head.",n,,y,n,,,,5,"It was a bit too long, which made me want to speed through the end due to the ""heavy head"" feeling of reading vastly different articles for 2h",none,"Nice choice of language, I've always wanted, but never dared, to learn some Finnish! (big fan of the country)"
37,2019/05/29 8:55:17 PM GMT+2,10,used silly mnemonics : maailman : world is a mans mans world,y,,y,y,,y,no,n,,n,n,,,,3,make the articles more interesting and reduce number of articles,,
38,2019/05/30 9:15:53 PM GMT+2,4,Concentrate on a small number of words to memorize well rather than the whole table,n,,n,n,,,No,n,,n,n,,,,2,,,"Number of articles about men: ~6
Number of articles about women: 1
Number of articles about racehorses: 1
"
39,2019/05/30 9:35:52 PM GMT+2,3,No,n,,n,n,,,No,n,,n,n,,,,1,,,
40,2019/05/30 10:11:55 PM GMT+2,30,No repeating and Hiding with my hand trying to repeat,n,,n,n,,,No,n,,n,n,,,,1,Too much information,,
41,2019/05/31 10:18:07 AM GMT+2,29,No,n,,n,n,,,No,n,,n,n,,,,2,,"The room was not well-ventilated, not enough Oxygen may reduce our performance.",
42,2019/05/31 11:41:38 AM GMT+2,27,Repeating the words and trying to find similarities between the word in english and the word in finish. Also similarities with words in Spanish (my mother tongue),y,,y,y,y,,Relate the translation of the words between  If one word was repeated in more than one article I compared the possible meaning between articles.,n,,y,y,y,,,3,,,
43,2019/07/02 7:17:45 PM GMT+2,46,"I made Eselsbrücken for myself, for example: the word ""maailman"" (might be spelled wrong) means world, because there are mailmen all around the world!",y,,y,y,,y,"No, the most frequent ones were easiest to remember.",n,,n,n,,,,2,"There were quite many texts, reading them was quite tedious. But I understand that this process has been chosen for a reason.",,
44,2019/07/02 7:49:14 PM GMT+2,57,basic style,n,y,n,y,y,,concept of whole,n,y,y,y,y,,,3,a little basic level text,no,thanks
45,2019/07/02 7:54:47 PM GMT+2,44,"if it sounds familiar, I just remembered. And sometimes used ""Eselsbrücken"" to remember some words or just remembered from context. Ans some sound so crazy, that I just had to remember.",y,,y,y,y,y,"Some words came more often, i could remember them in context. ",n,,y,y,y,,,3,,,
46,2019/07/03 7:22:18 PM GMT+2,56,I tried to remember the text context from the words.,y,,y,y,,y,No,n,,n,n,,,,4,,,
47,2019/07/03 7:34:33 PM GMT+2,48,remembered words by dividing them in syllables,y,,y,y,y,,tried to remember thanks to them being shown multiple times,n,,n,n,,,,3,,,
48,2019/07/03 7:39:41 PM GMT+2,50,I recognised pieces of words in the languages I know (like mailman for world etc),n,y,y,y,y,,Not really,n,,n,n,,,,2,,,"Thank you, this was a very interesting experience :)"
49,2019/07/03 7:44:08 PM GMT+2,42,"Reading the word over and over, trying to find some similar words in other lauages, which know.",y,,n,y,y,,"Instead of clicking again on a word I tried to find the shown word in the text above. With context, it was then easy to me to understand it.",n,,y,y,y,,,2,The amaount of text to read was tiring to read close to the end.,,
50,2019/07/03 7:44:30 PM GMT+2,49,searching for similarities in other languages i know,y,,n,y,y,,no,n,,n,n,,,,4,,,
51,2019/07/03 7:46:16 PM GMT+2,54,no,n,,n,n,,,no,n,,n,n,,,,5,,,
52,2019/07/03 7:47:17 PM GMT+2,41,"I just associated finnish words with italian ones and combined them, creating a sort of ""short stories"".",y,,y,y,,y,I tried to translate Finnish words with the use of the context of the articles.,n,,y,y,y,,,2,,,
53,2019/07/03 7:50:41 PM GMT+2,45,"Yes, I remembered the words which reminds me the Turkish ones",n,y,n,y,y,,No,n,,n,n,,,,4,,,
54,2019/07/03 7:53:07 PM GMT+2,43,"I tried the memorize the vocabulary by remembering just a syllable of the Finnish word, that is similar to its English or Turkish version. The words that started with the same letter both in English and Finnish were easier to remember. ",y,,y,y,y,,No,n,,n,n,,,,4,,,This was a very interesting experience!
55,2019/07/03 7:54:58 PM GMT+2,55,tried to find similar words that i already now and tried to connect them in any way,y,,y,y,y,,no,n,,n,n,,,,3,,,
56,2019/07/03 8:46:41 PM GMT+2,53,"yes , picked the interesting english words and their translations. also the shorters words ",n,,n,n,,,no,n,,n,n,,,,3,"shorter test , more mixed between reading part and questions ",,no
