,Timestamp,email,"If you used strategies/tips for memorizing vocabulary, did they help you in the follow-up?",strategies helpful,"If you are interested in participating in future studies, please add an email-address where we can contact you."
16,2019/06/05 6:22:49 PM GMT+2,28,"Yes, I remembered the suffix for the months",y,
17,2019/06/05 6:22:57 PM GMT+2,26,"Yes. I remembered 'tunnista' because I linked ""tunn"" with tuna -> tunas have eyes on the side of their bodies -> they have trouble *recognizing* things. I also made a (wrong after having tought about it) link between the 'l' of 'luvun' and the roman numeral 50 (which I wrongly thought was hundred -> century).",y,26
18,2019/06/05 6:23:08 PM GMT+2,12,"A little, the few words similar to English I could pick out but other than that I feel I only remembered some of the words learnt through repetition (kuva, tulevat, kunta).",y,12
19,2019/06/05 6:23:30 PM GMT+2,37,"Not really, I just had a vague recollection of words, but I didn't remember their meanings. And it was way easier in the fill-in-the-blanks type of questions just like last time.",n,37
20,2019/06/05 6:23:40 PM GMT+2,14,"I barely remembered the words and the meanings. So, the strategies didn't seem to be helpful  ",n,14
22,2019/06/05 6:26:03 PM GMT+2,22,"Yes, I remember laaksossa was valley because I associated it with ""lake sosa"", a combination of two english words I already knew. Some others were easy to remember because they were very short, like joen for river. Other words like ""home"" I remembered because the word always started with a capital K, and the word for majority I remembered because it was in two different words.",y,22
23,2019/06/05 6:26:10 PM GMT+2,27,"Yes, making some conections between english and finish. For example: tieden as science (because of the -ie in both of them). Also de context of the word and where the word was in the wikipedia articles (desafortunately, I am not able to think about one particular example in this case).",y,27
24,2019/06/05 6:26:48 PM GMT+2,24,Yes they helped,y,24
25,2019/06/05 6:30:08 PM GMT+2,32,nothing,n,32
26,2019/06/05 6:30:38 PM GMT+2,21,"In the previous session, I noticed that the words ending with ""-laa"" (while doing the test, I was pretty sure about the ending, but now maybe I wrote it incorrectly) are the months. This helped me a lot to remember months. ",y,21
27,2019/06/05 6:30:51 PM GMT+2,30,no,n,30
28,2019/06/05 6:31:22 PM GMT+2,34,Foreign words in sentences are a better way to learn than just giving them away like that!,n,34
29,2019/06/05 6:33:06 PM GMT+2,7,"Some of them yes, the ones I remember at least...",y,7
30,2019/06/05 6:34:58 PM GMT+2,6,no,n,6
31,2019/06/05 6:37:34 PM GMT+2,0,"Not really, I remembered only a few of the mimes and melodies",n,
32,2019/06/05 6:44:16 PM GMT+2,39,No,n,39
33,2019/06/05 6:47:58 PM GMT+2,10,not much,n,10
34,2019/07/09 6:30:51 PM GMT+2,46,"I tried to remember the words by choosing extraordinary spelling or other trade marks of the word, and associating it with similar anomilies in the spelling of the English word or its meaning. I also made Eselsbrücken, eg. the Finnish word 'hounuesta' -> honest -> information.",y,
35,2019/07/09 6:37:37 PM GMT+2,44,not really. Just a little bit,n,
36,2019/07/10 6:12:46 PM GMT+2,56,No,n,56
37,2019/07/10 6:12:50 PM GMT+2,42,i tried to memorize small words with not so many letters.,m,42
38,2019/07/10 6:15:42 PM GMT+2,55,"trying to find similar words in languages that i already know, and connect the meaning",y,55
39,2019/07/10 6:16:21 PM GMT+2,50,Yes,y,
40,2019/07/10 6:17:45 PM GMT+2,45,My table strategies helped me in the follow up session,y,45
41,2019/07/10 6:17:52 PM GMT+2,47,a bit,y,47
42,2019/07/10 6:20:30 PM GMT+2,43,"No, I forgot most of the vocabulary.",n,43
43,2019/07/10 6:29:45 PM GMT+2,52,"yes, like the similer words from English and those which are similarities with my Mother tounge",y,52
44,2019/07/10 6:36:09 PM GMT+2,51,"It helps me to do the tests for a time. Like, the words that Ive known from the last week was really easy, but I coudnt remember all. ",y,51
45,2019/07/10 6:36:28 PM GMT+2,54,the context has helped me to memorize the words,y,
46,2019/07/10 6:36:45 PM GMT+2,48,"yes, for example words that started with the same letter",y,
47,2019/07/10 6:42:19 PM GMT+2,41,"Yes, I tried to match finnish words with similar words of my native language.",y,
